EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C5XBE202583,C5X,202583,,,,,,,Pace BMW,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202584,C51,202584,,,,,,TOTAL LOSS,Princeton MINI,BMW of Roxbury,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C53BE202585,C53,202585,,,,,,,BMW of Tucson,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202586,C55,202586,,,,,,,Laurel BMW of Westmont,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202587,C57,202587,,,,,,,Sonnen BMW,BMW MINI of Concord,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202588,C59,202588,,,,,,,Community Volkswagen/Santa Maria BMW,,,,,,,
A29 - SIlverstone II,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C50BE202589,C50,202589,,,,,,TOTAL LOSS,,,,,,,,
A29 - SIlverstone II,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202590,C57,202590,,,,,,,BMW of Bellevue,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202591,C59,202591,,,,,,,Passport BMW,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202592,C50,202592,,,,,,,Sewickley BMW,,,,,,,
A29 - SIlverstone II,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C52BE202593,C52,202593,,,,,,,"Murray Motor Works, CO",,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C54BE202594,C54,202594,,,,,,,BMW of Mountain View,,,,,,,
